city,ZipCode,Price,HospitalDistance,Bank/ATM,SchoolDistance,SoldDate,BiddedDate,DistToTown,isfloodedArea,IsTsunmaiAlertedArea,Latitude,Longtitude
Colombo 06,600,"11,000,000",0.5,0.7,0.35,,2/3/2026,1.6,0,1,6.8755,79.861
Colombo 03,300,"16,000,000",0.7,1.1,1.5,,2/3/2026,0.8,0,1,6.901,79.8549
Colombo 06,600,"10 , 000,000",2,1,1.3,,2/3/2026,1.5,0,1,6.8755,79.861
Colombo 06,600,"12,500,000",1.6,0.9,1.7,,2/2/2026,1.9,0,1,6.8755,79.861
Colombo 08,800,"6,300,000",1.2,1.6,1.2,,2/2/2026,0.3,0,0,6.9148,79.8776
Colombo 05,500,"11,000,000",2.7,1.3,1.6,,2/2/2026,0.007,0,0,6.8924,79.877
Colombo 14,1400,"2,500,000",4.8,3.5,2.3,,2/1/2026,2,1,0,6.9511,79.8741
Colombo 08,800,"4,400,000",0.6,1.2,1.5,,1/31/2026,0.009,0,0,6.9148,79.8776
Kaduwela,10640,"2,650,000",2,1.4,1.8,,3/24/2026,0.6,1,0,6.9291,79.9828
Colombo 08,800,"11,000,000",0.9,0.3,1.1,,1/31/2026,0.07,0,0,6.9148,79.8776
Kesbewa,10300,"620,000",1.9,0.7,1.4,,26/03/2026,2,1,0,6.7787,79.9473
Homagama,10200,1100000,2.5,2.4,1.6,,26/03/2026,2.7,0,0,6.8456,80.0036
Rajagiriya,10107,1500000,2.1,1.7,3.9,,26/03/2026/,1.3,0,0,6.9094,79.8943
Kottawa,10240,830000,3.6,1.5,1.8,,25/03/2026/,3.1,0,0,6.8412,79.9654
Maharagama,10280,2800000,0.7,0.6,0.6,,26/03/2026/,0.9,0,0,6.848,79.9265
Piliyandala,10300,960000,1.9,1.6,1.6,,21/03/2026/,1.8,0,0,6.8018,79.9227
Dehiwala,10350,2600000,1.6,0.9,1.1,,26/03/2026/,1.5,0,1,6.851,79.8653
Malabe,10115,1100000,0.7,0.6,0.8,,26/03/2026/,1,0,0,6.9147,79.9729
Battaramulla,10120,2700000,1.5,1.8,1,,26/03/2026/,1.6,0,0,6.9022,79.9192
MountLavinia,10370,3500000,1.3,0.9,1,,26/03/2026/,0.5,0,1,6.8389,79.8636
Talawathugoda,10116,1900000,3.5,0.7,0.9,,26/03/2026/,0.7,0,0,6.8759,79.9392
Boralesgamuwa,10290,2200000,0.8,0.6,0.9,,26/03/2026/,1.1,0,0,6.8415,79.9
Kesbewa,10300,780000,1.7,0.6,1.3,,26/03/2026/,2.1,1,0,6.7787,79.9473
Homagama,10200,1400000,0.9,0.7,0.5,,26/03/2026/,0.6,0,0,6.8456,80.0036
Nugegoda,10250,3200000,0.5,0.9,1.1,,26/03/2026/,0.7,0,0,6.8721,79.8997
Rajagiriya,10107,2700000,1.1,0.7,4.1,,26/03/2026/,1.4,0,0,6.9094,79.8943
Maharagama,10280,3000000,0.6,0.4,0.5,,26/03/2026/,0.5,0,0,6.848,79.9265
Kottawa,10240,1900000,0.7,0.4,0.7,,26/03/2026/,1.2,0,0,6.8412,79.9654
Piliyandala,10300,2000000,0.8,0.5,0.7,,26/03/2026/,0.7,0,0,6.8018,79.9227
Malabe,10115,2150000,2.1,1.5,1.1,,26/03/2026/,1.1,0,0,6.9147,79.9729
Battaramulla,10120,3500000,0.5,0.9,0.4,,26/03/2026/,0.6,0,0,6.9022,79.9192
Dehiwala,10350,2900000,0.6,0.9,0.2,,26/03/2026/,0.5,0,1,6.851,79.8653
Kesbewa,10300,600000,1.8,0.6,1.3,,26/03/2026/,2,1,0,6.7787,79.9473
Homagama,10200,1250000,2,1.3,1.6,,26/03/2026/,0.9,0,0,6.8456,80.0036
Nugegoda,10250,3700000,0.6,0.8,1,,26/03/2026/,0.8,0,0,6.8721,79.8997
Kottawa,10240,2100000,0.6,0.5,0.7,,26/03/2026/,1.1,0,0,6.8412,79.9654
Maharagama,10280,2600000,1.7,0.9,0.9,,26/03/2026/,1,0,0,6.848,79.9265
Rajagiriya,10107,2100000,1,0.7,4,,26/03/2026/,1.3,0,0,6.9094,79.8943
Malabe,10115,3250000,0.7,0.6,0.8,,26/03/2026/,1,0,0,6.9147,79.9729
Battaramulla,10120,3300000,0.5,0.7,0.6,,26/03/2026/,0.6,0,0,6.9022,79.9192
MountLavinia,10370,3540000,0.8,0.9,0.4,,26/03/2026/,0.5,0,1,6.8389,79.8636
Talawathugoda,10116,3100000,0.5,0.7,0.9,,26/03/2026/,0.7,0,0,6.8759,79.9392
Boralesgamuwa,10290,2350000,0.8,0.6,0.9,,26/03/2026/,1.1,0,0,6.8415,79.9
Kaduwela,10640,2150000,1,0.5,0.8,,26/03/2026/,1.4,0,0,6.93,79.98
Piliyandala,10300,1850000,1.2,0.9,0.7,,25/03/2026/,1.3,0,0,6.8018,79.9227
